epoch,acc,loss,lr,val_acc,val_loss
0,0.52456786171574898,1.3138503540645947,0.001,0.46579999999999999,1.8858480720520019
1,0.69068407561678946,0.87613425996585448,0.001,0.64990000000000003,1.0580780553817748
2,0.76147468760012815,0.68540474712294819,0.001,0.7117,0.88139682235717776
3,0.79946331304069207,0.57613802548212645,0.001,0.75700000000000001,0.76072746105194089
4,0.82599727651393784,0.50732303993971595,0.001,0.77310000000000001,0.71631364154815669
5,0.84369993591797499,0.45084833642375349,0.001,0.76939999999999997,0.69140201015472413
6,0.86008090355655242,0.40364112435950183,0.001,0.81630000000000003,0.56625047626495362
7,0.87526033322652996,0.36382523692788621,0.001,0.83350000000000002,0.50730700182914734
8,0.88657481576417818,0.32992480106553906,0.001,0.86299999999999999,0.38504456110000612
9,0.89434476129445695,0.30179620811817776,0.001,0.85060000000000002,0.4555674294471741
10,0.9041773470041653,0.27836520055554226,0.001,0.85450000000000004,0.45559031057357791
11,0.91326898429990389,0.25233748104472226,0.001,0.85909999999999997,0.43337865757942201
12,0.94016340916372954,0.17102087393894824,0.000316228,0.90959999999999996,0.26907686128616332
13,0.9483338673502083,0.1476565305023039,0.000316228,0.9153,0.26280674270391463
14,0.95404117270105737,0.135659819304733,0.000316228,0.91410000000000002,0.2704879069805145
15,0.95566324895866706,0.12650472306023039,0.000316228,0.92110000000000003,0.24774767303466796
16,0.95996876001281639,0.11497747732427249,0.000316228,0.90820000000000001,0.29523685255050658
17,0.96084988785645631,0.10848440104801278,0.000316228,0.91600000000000004,0.28348856844902037
18,0.96451457866068568,0.10078394190264757,0.000316228,0.91949999999999998,0.26701053392887114
19,0.97394665171419414,0.075763964837548908,0.0001,0.92589999999999995,0.2442162738442421
20,0.97739106055751357,0.066744887888030499,0.0001,0.92769999999999997,0.24705157145261764
21,0.97861262415892347,0.063646451245727195,0.0001,0.92800000000000005,0.24737379231452941
22,0.97989426465876317,0.060327199456908315,0.0001,0.9284,0.24200447670221328
23,0.97979413649471325,0.058095635123519861,0.0001,0.92859999999999998,0.25006806421279909
24,0.98199695610381288,0.054018678742221285,0.0001,0.92649999999999999,0.249419078874588
25,0.98213713553348281,0.051942397754678779,0.0001,0.92869999999999997,0.25747126100063322
26,0.98419977571291251,0.045257616701611374,3.16228e-05,0.92879999999999996,0.24871554923057557
27,0.98634251842358223,0.042143043380102947,3.16228e-05,0.93089999999999995,0.24544847335815428
28,0.98678308234540213,0.040820632659278405,1e-05,0.93089999999999995,0.2471687402486801
29,0.98618231336110218,0.041046231859165179,1e-05,0.92989999999999995,0.24873554322719574
30,0.98754405639218201,0.038715157493142048,3.16228e-06,0.93120000000000003,0.2478536526441574
31,0.98790451778276189,0.038220344069546629,3.16228e-06,0.93079999999999996,0.24830051596164704
32,0.98770426145466195,0.037469856439230537,1e-06,0.93089999999999995,0.24849365868568421
33,0.98712351810317212,0.038579613182518256,1e-06,0.93110000000000004,0.24914172205924986
34,0.98738385132970197,0.038816303700490357,5e-07,0.93079999999999996,0.24939672961235046
35,0.9879445690483819,0.038841260472376425,5e-07,0.93059999999999998,0.24914375419616699
36,0.98776433835309196,0.038213225426817793,5e-07,0.93059999999999998,0.24860975644588471
37,0.98788449214995189,0.038042699116783783,5e-07,0.93069999999999997,0.24836289502382278
38,0.98822492790772187,0.036896214109643437,5e-07,0.93120000000000003,0.24792731559276582
39,0.98770426145466195,0.038794664967147459,5e-07,0.93169999999999997,0.24879599387645721
40,0.98752403075937201,0.038543581934236959,5e-07,0.93130000000000002,0.24907033933401107
41,0.98746395386094199,0.038097730460578204,5e-07,0.93069999999999997,0.24827977442741395
42,0.98776433835309196,0.038194948027476798,5e-07,0.93110000000000004,0.24830086793899536
43,0.98862544056392176,0.036893240717149861,5e-07,0.93079999999999996,0.24774469448328018
44,0.987483979493752,0.038655323325544451,5e-07,0.93110000000000004,0.24802735750675201
45,0.98768423582185194,0.038032450833623749,5e-07,0.93100000000000005,0.24907348916530608
46,0.98764418455623193,0.038439091014503018,5e-07,0.93100000000000005,0.24858154673576355
47,0.98710349247036211,0.039707182344074284,5e-07,0.93079999999999996,0.2483418766260147
48,0.98716356936879202,0.038361501646338843,5e-07,0.93049999999999999,0.24920187957286835
49,0.987483979493752,0.037340279172023344,5e-07,0.93100000000000005,0.24824077749252318
50,0.98826497917334188,0.037848045933694459,5e-07,0.93130000000000002,0.24837637977600097
51,0.98746395386094199,0.037754034978307448,5e-07,0.93110000000000004,0.24733036494255065
52,0.98774431272028196,0.036982810829587945,5e-07,0.93089999999999995,0.24766387383937835
53,0.98774431272028196,0.039066572662577799,5e-07,0.93089999999999995,0.24857405164241791
